FZRZGH	FZRXM	XMMC
0006154056	潘懋	冀中地区雷家庄构造带含油气综合评价研究
0006154056	潘懋	地质钻孔基本信息发布系统开发
0006154056	潘懋	三维地震资料解释及构造特征分析软件开发
0006154056	潘懋	中恒兴业房屋租赁合同
0006154056	潘懋	施工协议书
0006154056	潘懋	公房使用协议
0006154056	潘懋	数字盆地三维可视化原型系统
0006154056	潘懋	委托岩石矿物制备合同
0006154056	潘懋	委托数据信息处理合同
0006154056	潘懋	房屋租赁合同
0006154056	潘懋	软件系统开发合同书
0006154056	潘懋	软件测试服务合同书
0006154056	潘懋	海外重点裂谷盆地油气成藏规律及目标优选-潘懋协作
0006154056	潘懋	库车前路冲断带北部山前构造裂缝形成机制及预测
0006154056	潘懋	购销合同
0006154056	潘懋	中国GIS优秀工程评选
0006154056	潘懋	专业气象信息有偿服务合同
0006154056	潘懋	专业气象信息有偿服务合同
0006154056	潘懋	VI委托设计
0006154056	潘懋	协作办刊协议
0006154056	潘懋	*
0006154056	潘懋	城市地质数据管理与服务平台
0006154095	牛大勇	河合文化研究所项目
0006154095	牛大勇	中国茶文化及茶道指标研究
0006154095	牛大勇	邯郸市文化旅游产业发展等领域战略研究项目
0006154095	牛大勇	邯郸市文化旅游产业发展等领域战略研究项目
0006154095	牛大勇	茶文化资源研究
0006154095	牛大勇	中华茶通典研究等历史文化研究
0006154095	牛大勇	中外文化传播史研究
0006154095	牛大勇	古中国文化遗产群运城调研论证项目
0006154095	牛大勇	佛教传播路线考察规划
0006154095	牛大勇	韩半岛研究中心项目经费
0006154095	牛大勇	历史文化研究
0006154095	牛大勇	软实力-河南文物与经济社会发展
0006154095	牛大勇	中国文化产业研究
0006154095	牛大勇	中外文化传播史研究
0006154095	牛大勇	国家文物局符合国情的文物保护利用之路专题研究项目
0006154097	宋向光	博物馆理事会组织规则
0006154097	宋向光	中国博物馆职业道德准则
0006154097	宋向光	博物馆馆际交流平台建设
0006154097	宋向光	《秦与戎》展陈制作
0006154097	宋向光	指南针计划进大学校园
0006154097	宋向光	促进高校博物馆建设与发展调研
0006154097	宋向光	中国国家博物馆每周快讯
0006154097	宋向光	中国私立博物馆管理与发展
0006154100	姚卫群	古印度主要哲学经典研究
0006154100	姚卫群	印度婆罗门教哲学与佛教哲学比较研究
0006154101	刘壮虎	重庆市文科基地重点项目“概念结构理论研究”
0006154102	冀建中	社区科普的理论与实践
0006154102	冀建中	太原市科技与民生战略规划
0006154104	王宗昱	早期全真教研究
0006154105	李心愉	中国资金流量核算方法的研究
0006154105	李心愉	经济增长点的国际比较研究
0006154105	李心愉	中国生产率测算方法的研究
0006154105	李心愉	中国经济增长质量检测指标体系研究
0006154105	李心愉	寿险业发展与拉动内需的关系
0006154105	李心愉	城镇化对服务业发展的影响研究
0006154120	白桂梅	从中国视角编制和出版人权入门教材
0006154125	沈明明	2011年彩票公益金政府购买公益服务项目
0006154125	沈明明	中国环境意识项目
0006154125	沈明明	北京市公众安全用药现状及服务需求调查
0006154125	沈明明	法国IRIS项目
0006154125	沈明明	编纂志书资料长编及撰写成稿
0006154125	沈明明	编纂志书资料长编及撰写成稿-沈明明协作
0006154125	沈明明	编纂志书资料长编及撰写成稿
0006154125	沈明明	北京市保健食品化妆品抽检采样模型和方案设计
0006154125	沈明明	城市居民传统文化观与易经认知研究
0006154125	沈明明	彩票政策咨询服务委托协议（补充协议）
0006154125	沈明明	中国互联网彩票销售研究
0006154125	沈明明	彩票业务政策咨询服务
0006154125	沈明明	鄂疆赛马彩票试点的可行性研究
0006154125	沈明明	公共政策满意度调查合作协议
0006154125	沈明明	彩票业政策咨询服务
0006154125	沈明明	现代国家与国际秩序
0006154125	沈明明	农转非后农村剩余集体资产处理之研究
0006154125	沈明明	中国福利彩票救急难引导基金
0006154125	沈明明	福体彩品牌建设及营销推广对比研究
0006154125	沈明明	社会治理与公共服务研究
0006154125	沈明明	社会治理与公共服务研究
0006154125	沈明明	world values survey
0006154125	沈明明	北京市大学生网路使用和社会参与问卷调查
0006154125	沈明明	公共产品
0006154125	沈明明	价值观
0006154125	沈明明	区域医疗中心服务对象意向调查
0006154125	沈明明	北京社会经济发展调查
0006154125	沈明明	城市居民精神健康障碍救助研究
0006154125	沈明明	新媒体条件下中国公民政治价值观实证调查研究
0006154125	沈明明	摩纳哥博彩法律文件翻译
0006154125	沈明明	校友项目
0006154125	沈明明	北京地区研究2015
0006154125	沈明明	政府质量研究
0006154125	沈明明	北京药品市场安全状况评价指标体系设计
0006154125	沈明明	搭车项目
0006154125	沈明明	world value survey
0006154125	沈明明	医疗满意度项目2012
0006154125	沈明明	我国公民政治心理与政治稳定的关系研究
0006154125	沈明明	社会治理与公共服务研究
0006154125	沈明明	体育彩票高频游戏检测项目
0006154125	沈明明	北京市药品市场社会风险研究课题
0006154125	沈明明	福利彩票事业十二五规划
0006154125	沈明明	福利彩票事业发展综合能力培训
0006154125	沈明明	弱势彩民权益保护性调查及心理疏导服务平台建设
0006154125	沈明明	北京市公众安全用药现状及服务需求调查
0006154125	沈明明	北京地区研究
0006154125	沈明明	退休人员研究
0006154125	沈明明	成都交通与健康研究
0006154125	沈明明	成都交通与健康研究
0006154125	沈明明	北京地区社会经济跟踪调查
0006154125	沈明明	澳门与香港建构大珠三角优质生活圈之协调发展策略研究
0006154125	沈明明	城市居民信任状况调查
0006154125	沈明明	负责任博采宣传周
0006154125	沈明明	Migration Dynamics and Migrant Integration
0006154125	沈明明	Generating Popular Support in Non-Democratic Regimes:The Case of China
0006154125	沈明明	公益事业与彩票产业国际学术研讨会
0006154125	沈明明	山东河南项目
0006154125	沈明明	医疗满意度项目2012
0006154125	沈明明	2012年北京市公众对药品监督管理局服务评价与需求调查
0006154125	沈明明	《2012年度民政部本级中央级彩票公益金项目》
0006154125	沈明明	2012年度民政部本级中央级彩票公益金项目
0006154125	沈明明	浙江省舟山群岛新区彩票事业发展研究
0006154125	沈明明	首都文化数据库建设项目
0006154125	沈明明	2012年北京市公众对药品监督管理局服务评价与需求调查
0006154125	沈明明	体育彩票问题彩民后续研究
0006154125	沈明明	北京经济技术开发区与新竹科学工业园区产业发展比较研究
0006154125	沈明明	淮安市2012年度廉政与效能第三方民意调查
0006154125	沈明明	2011年北京市公众对药品监督管理局服务评价与需求调查及志书外部资料收集
0006154130	江荣海	国华能源思想政治工作方法创新研究
0006154130	江荣海	国华能源投资有限公司政治思想工作方法创新研究
0006154130	江荣海	晋江广播电视台人力资源咨询项目
0006154130	江荣海	人本管理与岗位主人翁精神
0006154130	江荣海	企业文化对员工行为的作用机理与企业文化建设咨询方法
0006154132	张敏	《丝绸之路考古十五讲》(韩文版)
0006154198	霍继延	意向书
0006154198	霍继延	协议书
0006154198	霍继延	小型窗式固体吸湿换气装置
0006154271	王道宪	基层及少数民族地区高发疾病防治适宜技术研究及示范-王道宪协作
0006154271	王道宪	面向远程医疗和社区医疗信息化的无线物联网技术总体研究-王道宪协作
0006154277	王武成	国家水资源管理系统之信息采集通信监控平台初步设计
0006154277	王武成	雁二站原油外输自动计量技术应用
0006154277	王武成	黄河上游梯级水电站调度自动化系统工程水调模拟屏系统开发
0006154277	王武成	新疆塔里木河流域管理局数字模拟屏维保方案
0006154277	王武成	南水北调模拟屏画面设计
0006154277	王武成	新疆塔里木河流域水量调度管理系统模拟屏系统
0006154277	王武成	订购元器件
0006154277	王武成	塔河干流工程调度监控系统维修养护项目数字模拟屏维护服务合同
0006154277	王武成	工业品买卖合同
0006154277	王武成	黑河流域管理局模拟屏
0006154277	王武成	原厂维护服务合同书（河南段）
0006154277	王武成	购买铝合金架子
0006154277	王武成	水功能区水资源管理系统编制
0006154277	王武成	北京市加工合同
0006154277	王武成	原厂维护服务合同书（京津冀段）
0006154277	王武成	销售合同
0006154277	王武成	真空荧光显示屏（VFD）应用
0006154277	王武成	北京千翔搬家有限公司运输合同
0006154277	王武成	电子产品供货合同
0006154277	王武成	黄河流域是资源保护监控中心模拟屏专用数据库
0006154277	王武成	基于视频图像和GPS技术实现平台控制系统
0006154277	王武成	购买合金
0006154277	王武成	南水北调中线局天津分调中心模拟屏改造项目
0006154277	王武成	模拟屏系统研制开发项目补充合作协议
0006154277	王武成	购买合金铝板条
0006154277	王武成	购买不锈钢板材
0006154277	王武成	水资源管理系统数据库及管理模型项目编制
0006154277	王武成	智能视频网络应用系统
0006154277	王武成	UV254CODK值求解算法
0006154277	王武成	海河流域模拟屏污染团扩散演进显示程序
0006154277	王武成	22mm蜂窝板加工
0006154277	王武成	15mm蜂窝板加工
0006154277	王武成	模拟屏加工合同
0006154277	王武成	模拟屏加工
0006154277	王武成	模拟屏面板加工
0006154277	王武成	开关电源购销合同
0006154277	王武成	等离子显示器购销合同
0006154277	王武成	订购元器件
0006154277	王武成	模拟屏面板加工
0006154277	王武成	购买工控机
0006154277	王武成	购买特种电源
0006154277	王武成	购买服务器
0006154277	王武成	电子模拟显示系统建设
0006154277	王武成	国家水资源管理系统项目建议书之信息采集通信监控中心方案编制
0006154277	王武成	黑河流域管理局模拟屏技术维护
0006154277	王武成	数字模拟屏维护服务
0006154277	王武成	引大入秦工程调度模拟显示屏的设计
0006154277	王武成	南水北调中线干线工程总调中心实体环境建设项目模拟屏系统研制开发及安装分部工程
0006154277	王武成	官厅密云水库上游水质量自动检测系统三期工程
0006154277	王武成	黄河水量调度中心调度模拟屏整改恢复
0006154277	王武成	黄河水量调度中心调度模拟屏
0006154277	王武成	黄河水资源保护监控中心模拟屏系统开发
0006154277	王武成	数字模拟屏维护服务
0006154277	王武成	嵌入式ARM数据采集控制装置
0006154277	王武成	加工合同
0006154277	王武成	加工定做
0006154277	王武成	购销合同
0006154277	王武成	产品销售合同
0006154277	王武成	购销合同
0006154277	王武成	订货合同
0006154277	王武成	购销合同
0006154277	王武成	购销合同
0006154277	王武成	销售合同
0006154277	王武成	南水北调中线北京段工程沙盘模型
0006154277	王武成	日洪仪器产品销售合同
0006154277	王武成	加工合同
0006154277	王武成	真空荧光显示屏（VFD）应用
0006154277	王武成	黄河流域水资源保护监控中心模拟屏开发建设
0006154277	王武成	订货合同
0006154277	王武成	购买工控机板卡
0006154277	王武成	购买产品板
0006154277	王武成	官厅密云水库上游水质水量自动监测系统三期工程监控设备配置
0006154277	王武成	官厅密云水库上游水质水量自动监测系统三期工程模拟屏建设
0006154277	王武成	专用LED显示器开发
0006154277	王武成	天津市南水北调中线滨海新区供水一期工程 曹庄供水加压泵站工程 购销合同
0006154277	王武成	南水北调中线京石段应急供水工程北京段工程电子沙盘采购及安装
0006154277	王武成	天津市南水北调中线滨海新区供水一期工程曹庄供水加压泵站工程电子模拟屏
0006154280	滑弟弟	瓷套产品真空浸渍烘房
0006154280	滑弟弟	产品订货合同
0006154280	滑弟弟	证券从业人员培训网上报名系统
0006154280	滑弟弟	模拟屏结构加工合同
0006154280	滑弟弟	南水北调中线惠南庄泵站展厅设施改造工程
0006154280	滑弟弟	产品订购
0006154280	滑弟弟	订货合同书
0006154280	滑弟弟	销售合同
0006154326	赵为民	高校哲学社会科学思想动态专报
0006154326	赵为民	共建北大新闻与传播学院创意产业研究中心东莞分中心项目
0006154326	赵为民	北京高校哲学社会科学理论动态专报
0006154334	刘玉珍	网络借贷市场风险与投资者行为研究
0006154362	杨宪伟	平凉市崆峒区博物馆馆藏金属文物保护
0006154362	杨宪伟	镇原县博物馆馆藏铜器修复项目
0006154362	杨宪伟	平凉市崆峒区博物馆馆藏金属文物保护修复
0006154390	张文霞	果蝇亚属的系统分类研究
0006154462	关海庭	制度视角下政府公共危机管理机制和对策研究
0006154462	关海庭	公共危机管理：法律框架下政府责任体系的构建
0006154462	关海庭	中国共产党与当代中国体制改革模式的合理选择
0006154462	关海庭	中国和前苏联（俄罗斯）央地事权划分比较研究
0006154462	关海庭	中共与当代中国改革的成功启动
0006154462	关海庭	法律框架下政府责任体系的构建
0006154470	陈平原	中文学科建设专项
0006154474	杨河	2016中国特色社会主义理论体系研究中心运行经费
0006154474	杨河	学术会议和图书资料
0006154474	杨河	北京大学文化百年研究
0006154474	杨河	坚定中国特色社会主义道路自信、理论自信、制度自信研究
0006154474	杨  河	社会主义和谐社会构建中的意识形态问题研究
0006154474	杨河	2017中国特色社会主义理论研究中心运行经费
0006154474	杨河	高校马克思主义学科建设与思想政治课教育教学改革|基地间接经费
0006154474	杨河	习近平教育思想研究（张剑）
0006154474	杨河	习近平总书记治国理政新理念新思想新战略研究专项任务项目
0006154474	杨河	马克思经典文本研究及其当代价值|基地间接经费
0006154474	杨河	习近平治国理政思想与中国特色社会主义|基地间接经费
0006154474	杨河	十月革命、列宁主义与中国道路|基地间接经费
0006154474	杨河	网络评论研究战略合作
0006154474	杨河	北京大学与中国共产党
0006154481	田曙坚	北京大学科普基地建设项目-田曙坚协作
0006154481	田曙坚	科学技术普及专项-田曙坚协作
0006154482	阎步克	秦汉官阶制与早期帝国官僚
0006154482	阎步克	西汉竹简整理与研究
0006154482	阎步克	学术会议和图书资料
0006154482	阎步克	奖学金
0006154482	阎步克	古籍整理研究
0006154497	张酣	北京大学出版社---中外物理精品书系编委会项目
0006154497	张  酣	973超导项目03－材料与物性
0006154497	张  酣	无氟化学溶液沉积法制备百米级涂层导体的关键技术研究
0006154501	郭建宁	马克思主义中国化时代化大众化的路径与方法
0006154501	郭建宁	在大学生中深入开展六个“为什么”教育教学试点工作
0006154501	郭建宁	习近平治国理政思想与中国特色社会主义
0006154501	郭建宁	信息技术支撑文化产业发展战略
0006154501	郭建宁	基于社会主义核心价值体系的新疆青少年核心价值观培养研究
0006154501	郭建宁	习近平治国理政思想与中国特色社会主义
0006154501	郭建宁	毛泽东哲学方法与马克思主义中国化
0006154501	郭建宁	"以人为本,执政为民"理念研究
0006154501	郭建宁	习近平新时代中国特色社会主义思想的丰富内涵与基本特征（教育部十九大专项）
0006154501	郭建宁	习近平治国理政思想与中国特色社会主义
0006154501	郭建宁	习近平文化建设思想研究
0006154501	郭建宁	推动社会主义文化大发展大繁荣，提高国家文化软实力研究
0006154503	徐备	兴蒙造山带构造叠合与大规模成矿作用-徐备协作
0006154503	徐备	房屋出租合同
0006154503	徐  备	大陆深俯冲的动力学机制
0006154503	徐  备	秦岭与大别山带的连接-以桐柏信阳地区为例
0006154503	徐备	内蒙古索伦-西拉木伦构造带的组成、构造演化及其意义
0006154503	徐备	内蒙古中西部古亚洲洋闭合的古地磁和构造约束
0006154503	徐备	变质作用与造山带演化-徐备协作
0006154503	徐  备	我国古陆块对Rodinia全球超级大陆事件的响应
0006154503	徐  备	我国古陆块对Rodinia全球超级大陆事件的响应
0006154503	徐备	变质作用与造山带演化-徐备协作
0006154503	徐备	西伯利亚地台东缘重要矿床地质背景、成矿作用和找矿潜力研究
0006154503	徐备	大兴安岭成矿带区域构造形成、演化机制研究
0006154503	徐备	西伯利亚地台东缘重要矿床地质背景、成矿作用和找矿潜力研究
0006154503	徐备	塔里木板块西部新元古代冰期研究
0006154503	徐备	兴蒙造山带构造叠合与大规模成矿作用
0006154503	徐备	古亚洲洋构造体制成矿系统物质组成与过程|徐备协作
0006154503	徐备	兴蒙造山带构造演化、成矿信息与成矿作用
0006154503	徐备	房屋租赁
0006154503	徐备	内蒙古中西部古亚洲洋闭合的沉积和混杂堆积记录
0006154503	徐  备	桐柏-信阳-新县地区造山带结构及演化
0006154529	陈跃红	国民语文能力研究暨测试系统分类建设
0006154529	陈跃红	中文学科建设专项
0006154529	陈跃红	全国中小学生语文阅读能力大赛
0006154535	朱孝远	多卷本《德国通史》
0006154535	朱孝远	文化强国的欧洲经验
0006154535	朱孝远	德国宗教改革时期国家与教会关系变迁研究
0006154535	朱孝远	世界一流大学是如何打造的
0006154540	张英	关于商务汉语考试（BCT）命题的协议
0006154540	张英	商务汉语考试BCT（听读）（说写）命题的协议
0006154540	张英	商务汉语考试命题
0006154540	张英	商务汉语考试（BCT）自适应项目
0006154540	张英	汉考国际项目
0006154540	张英	国际汉语教师资格考试
0006154540	张英	博士、硕士学位基本要求（专业学位）
0006154540	张英	关于新汉语水平考试HSK命题的协议
0006154540	张英	韩国梨花女大项目
0006154544	周志忍	公共行政案例库
0006154544	周志忍	北京城市近期建设规划动态调控体系研究
0006154544	周志忍	北京市社区居家养老服务研究
0006154544	周志忍	政府职能的精细化管理与流程再造研究
0006154544	周志忍	洛阳伊洛工业园区项目
0006154544	周志忍	“效能淮安”的管理创新机制研究
0006154544	周志忍	北京市社区居家养老服务研究
0006154544	周志忍	中国城市公用事业政府监管体系创新研究
0006154544	周志忍	绩效管理与绩效预算中外比较研究
0006154544	周志忍	中国药品价格政策绩效评估及对企业的启示
0006154544	周志忍	容桂街道强镇扩权行政管理体制改革方案
0006154544	周志忍	《行政管理学》编写
0006154544	周志忍	行政管理体制改革和机构编制管理的理论和实践问题研究
0006154544	周志忍	广东省农村危房改造专项资金支出绩效第三方评估
0006154544	周志忍	海外中国文化中心绩效评估机制-周志忍协作
0006154544	周志忍	《空域管理体制改革研究》课题委托研究协议
0006154544	周志忍	公共组织绩效管理的理论与实务
0006154544	周志忍	中美科技创新政策比较研究
0006154544	周志忍	两局合并条件下广电出版行政管理创新研究
0006154544	周志忍	2014年度动物防疫考核评估标准体系研究
0006154544	周志忍	绩效管理与绩效预算中外比较研究
0006154544	周志忍	公共管理学科专业规范研制
0006154544	周志忍	部门职责分工协调机制
0006154544	周志忍	北京市农业局动物防疫考核评估标准体系
0006154544	周志忍	政府管理精细化问题研究
0006154544	周志忍	入世后我国企业竞争力提升与政府信息服务模式研究
0006154544	周志忍	朝阳区城市管理研究
0006154544	周志忍	干部考核评价系统
0006154544	周志忍	整体政府视角下的中国政府跨部门协同机制研究
0006154544	周志忍	雾霾防治管理体制和运行机制研究
0006154544	周志忍	智慧城市与政府治理对接
0006154544	周志忍	机关事务标准化的顶层设计、进程管理和绩效评价研究
0006154544	周志忍	大部制运行状况与效果评价
0006154544	周志忍	北京市红色旅游课题
0006154546	李昌珂	德国小说发展史
0006154546	李昌珂	《歌德全集》翻译
0006154547	刘新元	刘新元参加陈徐宗863项目
0006154547	刘新元	相干布居数囚禁微型原子钟的研究-刘新元协作
0006154552	王子宇	关于信息产业部《SDH系统10Gb/s光收发单元》项目的合作协议
0006154552	王子宇	惯性器件共性技术研究
0006154552	王子宇	SDH系统10Gb/s光电收发单元（D）测试技术服务
0006154552	王子宇	全光纤陀螺技术服务
0006154552	王子宇	油井测斜光纤陀螺仪技术推广
0006154552	王子宇	光逻辑单元器件用InP基功能材料研究（中科院半导体所负责）
0006154552	王子宇	王子宇光纤陀螺10
0006154552	王子宇	审计业务约定书
0006154552	王子宇	审计业务约定书
0006154552	王子宇	审计业务约定书
0006154552	王子宇	SDH系统10Gb/s光电收发单元（A/B/C）测试技术服务
0006154552	王子宇	半导体光电信息功能材料的基础研究
0006154552	王子宇	全光纤寻北传感器技术服务
0006154552	王子宇	微波腔体组件机械加工合同
0006154552	王子宇	SDH系统10Gb/s光电收发单元
0006154552	王子宇	关于SDH光纤通信系统高速光电收发单元系列产品的合作协议
0006154552	王子宇	Tbps级DWDM传输系统研制
0006154552	王子宇	10Gb/s驱动电路和微波匹配电路
0006154554	李东	中国现阶段企业信息系统及信息管理中的关键课题研究
0006154554	李  东	烟草行业按客户订单组织货源研究
0006154554	李  东	企业绩效管理
0006154554	李东	中国CIO角色效力和IT领导力的研究
0006154554	李东	住总第四方物流决策支持系统
0006154554	李  东	中国CIO1000调研项目问卷设计、数据分析和报告撰写
0006154556	王会祥	分步激发荧光检测大气氢氧自由基基础研究
0006154556	王会祥	典型地区大气酸化机理研究（后三年）-王会祥协作
0006154556	王会祥	大气自由基的形成和转化机制-王会祥协作
0006154556	王会祥	大气复合污染条件下自由基化学特征及新粒子形成-王会祥协作
0006154556	王会祥	大气HOx自由基测量与研究
0006154557	张浩达	信息视觉化传播研究
0006154557	张浩达	科学与艺术数字博物馆五期
0006154557	张浩达	科学与艺术数字博物馆dvd版整理制作
0006154561	宋国青	高华证券项目
0006154561	宋国青	经济运行主要指标及煤电油气运要素与经济发展的关联度研究
0006154561	宋国青	高盛演讲
0006154561	宋国青	中国宏观经济分析报告
0006154561	宋国青	中国宏观经济分析报告
0006154564	安国江	首都教育系统重大事项社会稳定风险评估机制研究
0006154564	安国江	高校交通管理工作信息化建设研究
0006154564	安国江	新历史条件下我国高校安全管理的发展与创新
0006154564	安国江	新历史条件下我国高校安全管理的发展与创新立项
0006154564	安国江	“平安校园”建设长效机制研究
0006154564	安国江	新历史条件下我国高校安全管理的发展与创新
0006154564	安国江	修订《大学生安全自护自救知识手册》
0006154568	毛志锋	水土流失对社会经济发展和生态安全影响评价
0006154568	毛志锋	评估技术方法专题-毛志锋协作
0006154568	毛志锋	循环经济与中国可持续发展研究
0006154568	毛志锋	*
0006154568	毛志锋	村镇空间规划与土地利用关键技术研究-毛志锋协作
0006154568	毛志锋	贵阳山语城居住区生态文明建设-毛志锋协作
0006154571	平新乔	使市场在资源配置中起决定性作用和更好发挥政府作用研究
0006154571	平新乔	民族地区利用外资问题研究
0006154571	平新乔	中国地方预算体制的绩效评估及指标设计
0006154571	平新乔	关于服务业税收负担的评价、测算及相关改革研究
0006154571	平新乔	我国现代服务业发展现状及问题
0006154571	平新乔	利用外资与中国工业企业R&D投入绩效
0006154571	平新乔	保障房的目标模式和融资工具
0006154572	尹田	中国民法典总则之理论与立法研究
0006154572	尹田	中国民法典总则之理论与立法研究
0006154572	尹田	人防工程所有权归属问题研究
0006154572	尹田	海域使用权抵押制度研究
0006154572	尹  田	海域物权制度研究
0006154573	岳升阳	京津地区运河河道环境考古研究
0006154573	岳升阳	北京市海淀区苏家坨镇历史文化资料收集
0006154573	岳升阳	朝阳金盏金融服务园区地名规划
0006154573	岳升阳	丰台重点功能区及周边道路名称专项规划研究
0006154573	岳升阳	丽泽金融商务区地名规划
0006154573	岳升阳	密云新城地名规划
0006154573	岳升阳	《宣武区地名分级保护名录》编制
0006154573	岳升阳	《宣南历史地图集》编绘追加资金协议
0006154573	岳升阳	丽泽金融商务园区地名文化遗产分级保护研究
0006154573	岳升阳	2007年海淀区地名管理调研
0006154573	岳升阳	北京平原全新世永定河古河道的历史地理研究
0006154573	岳升阳	朝阳区东坝集团、电子城南区、电子城西区地名规划
0006154573	岳升阳	国家大剧院岩土工程剖面的多学科综合研究
0006154573	岳升阳	宣南文化展览
0006154573	岳升阳	北京城中轴线保护区古地貌特征的历史地理研究
0006154573	岳升阳	昌平区地名文化遗产分级保护名录
0006154573	岳升阳	北京市海淀区2015-2020年文物修缮规划纲要
0006154573	岳升阳	海淀区翠湖科技园区地名规划
0006154573	岳升阳	海淀区拆迁村落文物调查和资料收集
0006154573	岳升阳	《地名规划编制标准》
0006154573	岳升阳	《北京市地名规划编制标准》调研
0006154573	岳升阳	北京通州新城地名规划研究
0006154573	岳升阳	北京历史地图集-岳升阳协作
0006154573	岳升阳	侯仁之学术成长资料采集-岳升阳协作
0006154573	岳升阳	〈宣南历史地图集〉电脑制图
0006154573	岳升阳	永丰产业基地（新）地名规划
0006154573	岳升阳	北京西北郊历史文化遗产带保护与利用研究
0006154573	岳升阳	丽泽金融商务区地名规划深化研究
0006154573	岳升阳	通州区历史文脉梳理和传承研究
0006154573	岳升阳	购买数码相机
0006154573	岳升阳	《北京市海淀区绿地系统规划及大运河、西山永定河文化带（海淀段）专项研究》——大运河、西山永定河文化带（海淀段）历史文化景观专题研究
0006154573	岳升阳	朝阳区东坝集团、电子城南区、电子城西区地名规划
0006154573	岳升阳	昌平地名历史文化脉络演变过程研究
0006154573	岳升阳	北京城市副中心地名体系规划
0006154573	岳升阳	文物保护科学和技术研究-岳升阳协作
0006154573	岳升阳	北京市通州区潞城镇棚改区（城市副中心15km2）一期项目地名规划
0006154573	岳升阳	三山五园地区文化遗产价值提升、内涵深化
0006154574	郭志刚	流动人口生育状况研究
0006154574	郭志刚	生育水平及家庭户结构研究
0006154574	郭志刚	我国人口发展与经济社会可持续发展战略研究
0006154574	郭志刚	人口学方法论研究
0006154574	郭志刚	现代性与虚拟社区
0006154574	郭志刚	生育率研究
0006154574	郭志刚	目标人群测算
0006154574	郭志刚	第六次全国人口普查委托课题项目立项及数据使用
0006154574	郭志刚	人口老龄化态势与发展战略研究
0006154574	郭志刚	2015年全国1%人口抽样调查生育率分析
0006154574	郭志刚	2012流动人口动态监测研究课题
0006154576	杨涛	PPMS测试委托协议
0006154576	杨涛	彭翔863磁力仪12-杨涛协作
0006154576	杨  涛	HTS SQUID在瞬变电磁法弱磁信号测量中应用技术研究
0006154576	杨涛	超导电性测试委托协议
0006154576	杨涛	YBCO超导薄膜磁性能测试委托协议
0006154576	杨涛	高温超导SQUID器件及配套读出电路
0006154576	杨涛	高温超导约瑟夫森效应测试系统的搭建
0006154577	蔡华	摩梭人的仪式及口述史访谈
0006154577	蔡华	中国节日影像志
0006154578	牛军	第二次国共合作破裂以来的国共关系演变
0006154578	牛军	新中国外交60年
0006154578	牛军	冷战与新中国外交的缘起
0006154578	牛军	东亚冷战与中国对外关系研究
0006154578	牛军	对处理好中美构建新型大国关系中的第三方因素的看法和对策建议
0006154581	王晓钢	结合怀柔全日面矢量磁图的日冕加热机制研究
0006154581	王晓钢	聚变等离子体中子能谱测量与诊断及相关磁流体模式研究-1
0006154581	王晓钢	三维磁重联磁场结构与若干物理过程的卫星观测与理论、模拟研究
0006154581	王晓钢	磁重联区模转换与波激发与传播研究
0006154581	王晓钢	中国磁约束核聚变研究历史研究
0006154581	王晓钢	超小型激光离子加速器及关键技术研究-王晓钢协作
0006154581	王晓钢	托卡马克等离子体非局域输运与相关湍流研究
0006154582	韩平畴	Peking University 2010 Campus Plan
0006154582	韩平畴	2010年宝洁顶点设计
0006154582	韩平畴	肺淋巴管肌瘤病患者外周血LAM细胞及游离DNATSC2突变及其临床意义
0006154582	韩平畴	新型纳米复合软组织支架的制造研究
0006154582	韩平畴	Capstone Design Project
0006154582	韩平畴	Apple Computer Trading (Shanghai) Co. Ltd Service Agreement
0006154582	韩平畴	组织工程中可控纳米材料的设计优化与强度建模
0006154582	韩平畴	Schlumberger-Peking University Agreement
0006154582	韩平畴	准一维半导体纳米结构与器件的理论设计与模拟
0006154582	韩平畴	全自动尿沉渣分析仪
0006154582	韩平畴	先进热泵系统研究
0006154582	韩平畴	先端太阳能热利用技术研发
0006154582	韩平畴	service agreement
0006154582	韩平畴	西门子顶点设计项目
0006154582	韩平畴	北京宝洁技术有限公司合同
0006154582	韩平畴	西门子顶点设计项目
0006154582	韩平畴	西门子顶点设计项目
0006154582	韩平畴	Internship with Students from PKU and IMFT
0006154582	韩平畴	一种新型成像系统的模式识别
0006154583	周治平	基于二元闪耀光栅的垂直耦合器和导模共振窄带滤波器的研究
0006154583	周治平	用于100G光通信的硅基调制器和接收器设计
0006154583	周治平	基于硅基混合表面等离子体波导的纳米聚焦及非线性研究
0006154583	周治平	华中科技大学协议
0006154583	周治平	低功耗微/纳光电子集成技术基础研究
0006154583	周治平	维纳加工
0006154583	周治平	硅光集成技术研究项目
0006154583	周治平	硅基集成100Gb/s相干接受和传输芯片技术-周治平协作
0006154583	周治平	硅光器件及模块可靠性研究项目
0006154583	周治平	光学多谐振耦合理论及其在多功能微纳生物传感中的应用
0006154583	周治平	面向微纳光电集成的硅基二元闪耀波导光栅的研究
0006154583	周治平	基于混合等离子体波导的硅基集成偏振控制器件研究
0006154583	ZHOUZHIPING	硅基光电芯片测试
0006154583	周治平	硅基集成100Gb/s相干接受和传输芯片技术-周治平协作
0006154584	杨壮	GRM项目可实施方案服务协议
0006154584	杨壮	互联网和IT企业国际化经营的战略思考
0006154584	杨壮	人才招聘及绩效评估体系
0006154584	杨壮	OCM人才发展体系咨询项目
